model-1643279507,1643279508.611,0.54,0.2494,0.38,0.273
model-1643279507,1643279509.265,0.55,0.2474,0.45,0.2533
model-1643279507,1643279509.918,0.51,0.2495,0.54,0.2485
model-1643279507,1643279510.564,0.5,0.2491,0.56,0.2478
model-1643279507,1643279511.208,0.47,0.2575,0.55,0.2473
model-1643279507,1643279511.851,0.47,0.2521,0.56,0.2491
model-1643279507,1643279512.492,0.6,0.2488,0.46,0.2526
model-1643279507,1643279513.133,0.38,0.2554,0.53,0.2486
model-1643279507,1643279513.774,0.49,0.2504,0.37,0.2536
model-1643279507,1643279514.414,0.5,0.2495,0.46,0.2504
model-1643279507,1643279515.055,0.48,0.2504,0.39,0.2514
model-1643279507,1643279515.698,0.55,0.2495,0.47,0.251
model-1643279507,1643279516.343,0.51,0.2501,0.5,0.25
model-1643279507,1643279516.995,0.5,0.2498,0.43,0.2513
model-1643279507,1643279517.647,0.5,0.2494,0.41,0.252
model-1643279507,1643279518.292,0.42,0.2518,0.56,0.2492
model-1643279507,1643279518.934,0.47,0.2497,0.57,0.2499
model-1643279507,1643279519.576,0.52,0.2496,0.47,0.25
model-1643279507,1643279520.217,0.57,0.2491,0.56,0.2487
model-1643279507,1643279520.858,0.51,0.2492,0.46,0.25
model-1643279507,1643279521.499,0.45,0.2499,0.38,0.2516
model-1643279507,1643279522.14,0.53,0.248,0.46,0.2507
model-1643279507,1643279522.782,0.44,0.2502,0.49,0.2501
model-1643279507,1643279523.425,0.52,0.2495,0.45,0.2509
model-1643279507,1643279524.066,0.46,0.2506,0.54,0.2492
model-1643279507,1643279524.709,0.56,0.2485,0.57,0.2493
model-1643279507,1643279525.351,0.61,0.2471,0.57,0.2484
model-1643279507,1643279525.994,0.53,0.2493,0.47,0.2524
model-1643279507,1643279526.638,0.54,0.2463,0.49,0.2522
model-1643279507,1643279527.28,0.49,0.2508,0.51,0.2495
model-1643279507,1643279527.926,0.62,0.2451,0.45,0.2579
model-1643279507,1643279528.568,0.54,0.2476,0.63,0.2347
model-1643279507,1643279529.212,0.52,0.2509,0.47,0.2578
model-1643279507,1643279529.858,0.53,0.249,0.44,0.2541
model-1643279507,1643279530.506,0.45,0.2566,0.54,0.2484
model-1643279507,1643279531.151,0.56,0.2447,0.53,0.2484
model-1643279507,1643279531.797,0.55,0.2472,0.63,0.2441
model-1643279507,1643279532.443,0.53,0.2477,0.52,0.2471
model-1643279507,1643279533.089,0.65,0.2344,0.56,0.2418
model-1643279507,1643279533.739,0.57,0.2451,0.55,0.2457
model-1643279507,1643279534.384,0.45,0.2753,0.55,0.2446
model-1643279507,1643279535.051,0.49,0.2531,0.5,0.2492
model-1643279507,1643279535.705,0.44,0.2546,0.53,0.2506
model-1643279507,1643279536.356,0.52,0.2486,0.57,0.2446
model-1643279507,1643279537.014,0.66,0.2431,0.55,0.246
model-1643279507,1643279537.679,0.49,0.2489,0.48,0.2509
model-1643279507,1643279538.34,0.48,0.2508,0.56,0.2457
model-1643279507,1643279538.992,0.58,0.245,0.45,0.2514
model-1643279507,1643279539.646,0.39,0.2584,0.55,0.2475
model-1643279507,1643279540.301,0.55,0.2464,0.48,0.2499
model-1643279507,1643279540.949,0.53,0.2487,0.62,0.246
model-1643279507,1643279541.596,0.58,0.2477,0.61,0.2484
model-1643279507,1643279542.244,0.53,0.249,0.58,0.2485
model-1643279507,1643279542.89,0.69,0.2465,0.58,0.2453
model-1643279507,1643279543.537,0.59,0.2485,0.59,0.2441
model-1643279507,1643279544.183,0.49,0.2495,0.51,0.2486
model-1643279507,1643279544.83,0.46,0.2467,0.59,0.2396
model-1643279507,1643279545.477,0.51,0.2443,0.6,0.2424
model-1643279507,1643279546.124,0.55,0.2483,0.45,0.2495
model-1643279507,1643279546.77,0.51,0.2463,0.62,0.2384
model-1643279507,1643279547.418,0.59,0.24,0.53,0.259
model-1643279507,1643279548.064,0.6,0.2476,0.61,0.2425
model-1643279507,1643279548.711,0.49,0.2479,0.67,0.2375
model-1643279507,1643279549.359,0.62,0.2383,0.55,0.2481
model-1643279507,1643279550.007,0.54,0.2422,0.58,0.2419
model-1643279507,1643279550.655,0.62,0.2364,0.53,0.2528
model-1643279507,1643279551.306,0.58,0.2403,0.58,0.2474
model-1643279507,1643279551.955,0.63,0.2399,0.61,0.2442
model-1643279507,1643279552.603,0.54,0.2335,0.57,0.2403
model-1643279507,1643279553.251,0.52,0.2494,0.6,0.2362
model-1643279507,1643279553.899,0.62,0.2276,0.64,0.2239
model-1643279507,1643279554.547,0.56,0.2524,0.61,0.233
model-1643279507,1643279555.198,0.63,0.226,0.52,0.2506
model-1643279507,1643279555.847,0.49,0.2727,0.56,0.2438
model-1643279507,1643279556.495,0.45,0.276,0.63,0.2451
model-1643279507,1643279557.143,0.61,0.2418,0.64,0.2327
model-1643279507,1643279557.792,0.57,0.2355,0.58,0.2219
model-1643279507,1643279558.439,0.56,0.2504,0.55,0.2472
model-1643279507,1643279559.087,0.53,0.247,0.57,0.2424
model-1643279507,1643279559.734,0.52,0.2478,0.55,0.243
model-1643279507,1643279560.381,0.46,0.2588,0.54,0.2426
model-1643279507,1643279561.027,0.52,0.2422,0.55,0.2446
model-1643279507,1643279561.674,0.56,0.2406,0.55,0.2445
model-1643279507,1643279562.32,0.64,0.2454,0.56,0.2443
model-1643279507,1643279562.967,0.6,0.2442,0.59,0.2438
model-1643279507,1643279563.613,0.68,0.2416,0.61,0.2426
model-1643279507,1643279564.261,0.6,0.2445,0.57,0.2465
model-1643279507,1643279564.907,0.68,0.2371,0.56,0.2433
model-1643279507,1643279565.555,0.56,0.245,0.48,0.2538
model-1643279507,1643279566.201,0.58,0.2416,0.49,0.254
model-1643279507,1643279566.848,0.61,0.2402,0.52,0.2532
model-1643279507,1643279567.495,0.59,0.2422,0.45,0.2616
model-1643279507,1643279568.143,0.47,0.2612,0.51,0.2552
model-1643279507,1643279568.789,0.56,0.2417,0.54,0.2424
model-1643279507,1643279569.437,0.51,0.2454,0.53,0.2494
model-1643279507,1643279570.084,0.68,0.2295,0.46,0.2666
model-1643279507,1643279570.731,0.49,0.2547,0.56,0.2431
model-1643279507,1643279571.393,0.55,0.2395,0.58,0.241
model-1643279507,1643279572.039,0.55,0.2457,0.59,0.2363
model-1643279507,1643279572.686,0.67,0.2277,0.54,0.247
model-1643279507,1643279573.333,0.53,0.2456,0.55,0.2441
model-1643279507,1643279573.979,0.6,0.2326,0.53,0.244
